Customer_ID,Customer_Name,Order_ID,Sales,Row_Num
AA-10315,Alex Avila,CA-2016-103982,3930.072,1
AA-10315,Alex Avila,CA-2016-103982,3930.072,2
AA-10315,Alex Avila,CA-2014-128055,673.568,3
AA-10315,Alex Avila,CA-2014-128055,673.568,4
AA-10315,Alex Avila,CA-2016-103982,431.976,5
AA-10315,Alex Avila,CA-2016-103982,431.976,6
AA-10315,Alex Avila,CA-2017-147039,362.94,7
AA-10315,Alex Avila,CA-2017-147039,362.94,8
AA-10315,Alex Avila,CA-2014-128055,52.98,9
AA-10315,Alex Avila,CA-2014-128055,52.98,10
AA-10315,Alex Avila,CA-2016-103982,41.72,11
AA-10315,Alex Avila,CA-2016-103982,41.72,12
AA-10315,Alex Avila,CA-2015-121391,26.96,13
AA-10315,Alex Avila,CA-2015-121391,26.96,14
AA-10315,Alex Avila,CA-2014-138100,14.94,15
AA-10315,Alex Avila,CA-2014-138100,14.94,16
AA-10315,Alex Avila,CA-2014-138100,14.56,17
AA-10315,Alex Avila,CA-2014-138100,14.56,18
AA-10315,Alex Avila,CA-2017-147039,11.54,19
AA-10315,Alex Avila,CA-2017-147039,11.54,20
AA-10315,Alex Avila,CA-2016-103982,2.304,21
AA-10315,Alex Avila,CA-2016-103982,2.304,22
AA-10375,Allen Armold,CA-2016-131065,499.98,1
AA-10375,Allen Armold,CA-2016-131065,499.98,2
AA-10375,Allen Armold,CA-2015-140921,149.97,3
AA-10375,Allen Armold,CA-2015-140921,149.97,4
AA-10375,Allen Armold,CA-2017-100230,116.98,5
AA-10375,Allen Armold,CA-2017-100230,116.98,6
AA-10375,Allen Armold,CA-2015-114503,84.96,7
AA-10375,Allen Armold,CA-2015-114503,84.96,8
AA-10375,Allen Armold,US-2017-169488,39.96,9
AA-10375,Allen Armold,US-2017-169488,39.96,10
AA-10375,Allen Armold,CA-2014-130729,34.272,11
AA-10375,Allen Armold,CA-2014-130729,34.272,12
AA-10375,Allen Armold,CA-2015-140921,28.4,13
AA-10375,Allen Armold,CA-2015-140921,28.4,14
AA-10375,Allen Armold,CA-2017-100230,17.94,15
AA-10375,Allen Armold,CA-2017-100230,17.94,16
AA-10375,Allen Armold,US-2017-169488,16.9,17
AA-10375,Allen Armold,US-2017-169488,16.9,18
AA-10375,Allen Armold,CA-2016-126613,16.768,19
AA-10375,Allen Armold,CA-2016-126613,16.768,20
AA-10375,Allen Armold,CA-2014-158064,16.52,21
AA-10375,Allen Armold,CA-2014-158064,16.52,22
AA-10375,Allen Armold,CA-2017-100230,14.952,23
AA-10375,Allen Armold,CA-2017-100230,14.952,24
AA-10375,Allen Armold,CA-2016-131065,8.26,25
AA-10375,Allen Armold,CA-2016-131065,8.26,26
AA-10375,Allen Armold,CA-2016-131065,5.28,27
AA-10375,Allen Armold,CA-2016-131065,5.28,28
AA-10375,Allen Armold,CA-2015-109939,5.248,29
AA-10375,Allen Armold,CA-2015-109939,5.248,30
AA-10480,Andrew Allen,CA-2016-114601,479.97,1
AA-10480,Andrew Allen,CA-2016-114601,479.97,2
AA-10480,Andrew Allen,CA-2016-114601,447.84,3
AA-10480,Andrew Allen,CA-2016-114601,447.84,4
AA-10480,Andrew Allen,CA-2016-121671,265.17,5
AA-10480,Andrew Allen,CA-2016-121671,265.17,6
AA-10480,Andrew Allen,CA-2016-121671,242.94,7
AA-10480,Andrew Allen,CA-2016-121671,242.94,8
AA-10480,Andrew Allen,CA-2016-114601,209.97,9
AA-10480,Andrew Allen,CA-2016-114601,209.97,10
AA-10480,Andrew Allen,CA-2016-121671,51.84,11
AA-10480,Andrew Allen,CA-2016-121671,51.84,12
AA-10480,Andrew Allen,CA-2014-155271,27.46,13
AA-10480,Andrew Allen,CA-2014-155271,27.46,14
AA-10480,Andrew Allen,CA-2016-121671,21.93,15
AA-10480,Andrew Allen,CA-2016-121671,21.93,16
AA-10480,Andrew Allen,CA-2017-114412,15.552,17
AA-10480,Andrew Allen,CA-2017-114412,15.552,18
AA-10480,Andrew Allen,CA-2016-114601,11.56,19
AA-10480,Andrew Allen,CA-2016-114601,11.56,20
AA-10480,Andrew Allen,CA-2016-114601,8.64,21
AA-10480,Andrew Allen,CA-2016-114601,8.64,22
AA-10480,Andrew Allen,CA-2016-121671,7.64,23
AA-10480,Andrew Allen,CA-2016-121671,7.64,24
AA-10645,Anna Andreadi,CA-2015-110863,1323.9,1
AA-10645,Anna Andreadi,CA-2015-110863,1323.9,2
AA-10645,Anna Andreadi,CA-2016-147137,1279.165,3
AA-10645,Anna Andreadi,CA-2016-147137,1279.165,4
AA-10645,Anna Andreadi,CA-2014-154963,853.93,5
AA-10645,Anna Andreadi,CA-2014-154963,853.93,6
AA-10645,Anna Andreadi,CA-2015-110863,541.24,7
AA-10645,Anna Andreadi,CA-2015-110863,541.24,8
AA-10645,Anna Andreadi,CA-2014-143210,271.9,9
AA-10645,Anna Andreadi,CA-2014-143210,271.9,10
AA-10645,Anna Andreadi,CA-2014-154963,170.058,11
AA-10645,Anna Andreadi,CA-2014-154963,170.058,12
AA-10645,Anna Andreadi,CA-2016-131205,129.92,13
AA-10645,Anna Andreadi,CA-2016-131205,129.92,14
AA-10645,Anna Andreadi,CA-2016-131205,113.94,15
AA-10645,Anna Andreadi,CA-2016-131205,113.94,16
AA-10645,Anna Andreadi,CA-2015-110863,106.32,17
AA-10645,Anna Andreadi,CA-2015-110863,106.32,18
AA-10645,Anna Andreadi,CA-2014-154963,82.782,19
AA-10645,Anna Andreadi,CA-2014-154963,82.782,20
AA-10645,Anna Andreadi,CA-2014-143210,45.84,21
AA-10645,Anna Andreadi,CA-2014-143210,45.84,22
AA-10645,Anna Andreadi,CA-2016-147137,43.96,23
AA-10645,Anna Andreadi,CA-2016-147137,43.96,24
AA-10645,Anna Andreadi,CA-2016-131205,42.6,25
AA-10645,Anna Andreadi,CA-2016-131205,42.6,26
AA-10645,Anna Andreadi,CA-2016-147137,27.92,27
AA-10645,Anna Andreadi,CA-2016-147137,27.92,28
